
 Lista de Imóveis da Caixa;;Data de geração:;27/12/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444401184253 ;MG ;BELO HORIZONTE ;CASTELO ;RUA DESEMBARGADOR JOSE SATYRO, N. 252, Apto 302, . ;460.000,00;460.000,00;0.00;Apartamento, 0.00 de área total, 101.43 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, WC Emp, 1 sala(s), DCE, cozinha, Terraco, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401184253
 1787701147127 ;MG ;BELO HORIZONTE ;PALMEIRAS ;RUA ANTONIO DE ANDRADE MENDES, N. 430, Apto 403, BL 01 ;335.000,00;335.000,00;0.00;Apartamento, 0.00 de área total, 46.15 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787701147127
 1444405356083 ;MG ;BELO HORIZONTE ;NOVA GRANADA ;RUA XAPURI, N. 620, Apto 1602, BL 02-B ;370.000,00;370.000,00;0.00;Apartamento, 0.00 de área total, 57.83 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405356083
 1242600006143 ;MG ;BELO HORIZONTE ;LUXEMBURGO ;RUA DOUTOR JUVENAL DOS SANTOS, N. 479, Apto 102, . ;400.000,00;400.000,00;0.00;Apartamento, 0.00 de área total, 104.00 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, WC Emp, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1242600006143
 1444403204910 ;MG ;BELO HORIZONTE ;INCONFIDENCIA ;RUA ARROJADO LISBOA, N. 145, LT21 Q3 ;401.672,00;401.672,00;0.00;Casa, 0.00 de área total, 131.00 de área privativa, 360.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403204910
 1787700039070 ;MG ;BELO HORIZONTE ;JOAO PINHEIRO ;RUA NOGUEIRA DE PAIVA, N. 120, Apto 202, PAV 02 ;277.000,00;277.000,00;0.00;Apartamento, 0.00 de área total, 57.27 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700039070
 1444400647420 ;MG ;BELO HORIZONTE ;CONJUNTO SANTA MARIA ;AVENIDA RAJA GABAGLIA, N. 1583, Apto 807, VG 163 ;435.000,00;435.000,00;0.00;Apartamento, 0.00 de área total, 45.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400647420
 1444402335239 ;MG ;BELO HORIZONTE ;CACHOEIRINHA ;RUA ITAPETINGA, N. 912, Apto 703, LT 19 20, QD8 ;350.000,00;350.000,00;0.00;Apartamento, 0.00 de área total, 69.85 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402335239
 1787700410550 ;MG ;BELO HORIZONTE ;ENGENHO NOGUEIRA ;AVENIDA VEREADOR FAUSTO SANTANA, N. 342, Apto 103, BL C ;285.000,00;285.000,00;0.00;Apartamento, 0.00 de área total, 60.55 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700410550
 1444407269269 ;MG ;BELO HORIZONTE ;MANACAS ;RUA GERALDO MAGELA DE ALMEIDA, N. 100, Apto 1103, . ;543.624,31;543.624,31;0.00;Apartamento, 0.00 de área total, 104.90 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407269269
 8787709125899 ;MG ;BELO HORIZONTE ;MONTE AZUL ;RUA PADRE ARGEMIRO MOREIRA, N. 11810, Apto 502, BL 06 ;190.000,00;190.000,00;0.00;Apartamento, 0.00 de área total, 55.58 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709125899
 8787710769885 ;MG ;BELO HORIZONTE ;MONTE AZUL ;RUA PADRE ARGEMIRO MOREIRA, N. 11300, Apto 101, TERREO, BL 09 ;160.000,00;160.000,00;0.00;Apartamento, 0.00 de área total, 43.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710769885
 1787701581404 ;MG ;BELO HORIZONTE ;SALGADO FILHO ;RUA CARMELITA PRATES DA SILVA, N. 424, Apto 602, BL 1 ;298.000,00;298.000,00;0.00;Apartamento, 0.00 de área total, 59.29 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787701581404
 1009100008819 ;MG ;BELO HORIZONTE ;PLANALTO ;RUA ALFREDO GUZELLA, N. 222, CS 04, LT 09, QD 78 ;235.000,00;235.000,00;0.00;Casa, 0.00 de área total, 55.85 de área privativa, 105.19 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1009100008819
 1444406332374 ;MG ;BELO HORIZONTE ;PLANALTO ;RUA DOM CARLOTO TAVORA, N. 335, Apto 201, LT 14 PV 02 E 03 VG 04 ;312.000,00;312.000,00;0.00;Apartamento, 0.00 de área total, 113.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406332374
